survey_cre,survey_upd,latitude,longitude,simp_plot,date,observer,species,distance,common_nam,species_4_,xcoord,ycoord,vibi_fq_nt,carex,dicot,shade,svp,fqai,hydro,sens,tol,sub_iv,can_iv,shrub,monocots,percent_op,dev,dev_edge,ldi_3k,sub_dens,can_dens,sub_dom,can_dom,small_tree,twi,reservatio,site_all,community,slope,aspect,Plot ID,time_start
6/2/2017 10:13,6/2/2017 11:38,,,1050,6/2/2017,Tim krynak,Spinus tristis,>50m,American Goldfinch,AMGO,,,48.20274448,5,25,25,4,23.85909492,0.195877775,0.087345056,0.192274431,0.029452785,0.155780817,0.027052185,4,5.85,103,20787,0.702129918,10,1400,110.4,38323.21584,0.150943396,13.09426,BW,BW1050,BeechMixedHardwoodHemlockForest,0.91,268.34,1050,6:14
6/2/2017 10:13,6/2/2017 11:38,,,1050,6/2/2017,Tim krynak,Empidonax virescens,<=50m,Acadian Flycatcher,ACFL,,,48.20274448,5,25,25,4,23.85909492,0.195877775,0.087345056,0.192274431,0.029452785,0.155780817,0.027052185,4,5.85,103,20787,0.702129918,10,1400,110.4,38323.21584,0.150943396,13.09426,BW,BW1050,BeechMixedHardwoodHemlockForest,0.91,268.34,1050,6:14
6/2/2017 10:13,6/2/2017 11:38,,,1050,6/2/2017,Tim krynak,Cyanocitta cristata,>50m,Blue Jay,BLJA,,,48.20274448,5,25,25,4,23.85909492,0.195877775,0.087345056,0.192274431,0.029452785,0.155780817,0.027052185,4,5.85,103,20787,0.702129918,10,1400,110.4,38323.21584,0.150943396,13.09426,BW,BW1050,BeechMixedHardwoodHemlockForest,0.91,268.34,1050,6:14
6/2/2017 10:13,6/2/2017 11:38,,,1050,6/2/2017,Tim krynak,Myiarchus crinitus,>50m,Great Crested Flycatcher,GCFL,,,48.20274448,5,25,25,4,23.85909492,0.195877775,0.087345056,0.192274431,0.029452785,0.155780817,0.027052185,4,5.85,103,20787,0.702129918,10,1400,110.4,38323.21584,0.150943396,13.09426,BW,BW1050,BeechMixedHardwoodHemlockForest,0.91,268.34,1050,6:14
6/2/2017 10:13,6/2/2017 11:38,,,1050,6/2/2017,Tim krynak,Picoides villosus,<=50m,Hairy Woodpecker,HAWO,,,48.20274448,5,25,25,4,23.85909492,0.195877775,0.087345056,0.192274431,0.029452785,0.155780817,0.027052185,4,5.85,103,20787,0.702129918,10,1400,110.4,38323.21584,0.150943396,13.09426,BW,BW1050,BeechMixedHardwoodHemlockForest,0.91,268.34,1050,6:14
6/2/2017 10:13,6/2/2017 11:38,,,1050,6/2/2017,Tim krynak,Turdus migratorius,>50m,American Robin,AMRO,,,48.20274448,5,25,25,4,23.85909492,0.195877775,0.087345056,0.192274431,0.029452785,0.155780817,0.027052185,4,5.85,103,20787,0.702129918,10,1400,110.4,38323.21584,0.150943396,13.09426,BW,BW1050,BeechMixedHardwoodHemlockForest,0.91,268.34,1050,6:14
6/2/2017 10:13,6/2/2017 11:38,,,1050,6/2/2017,Tim krynak,Vireo olivaceus,<=50m,Red-eyed Vireo,REVI,,,48.20274448,5,25,25,4,23.85909492,0.195877775,0.087345056,0.192274431,0.029452785,0.155780817,0.027052185,4,5.85,103,20787,0.702129918,10,1400,110.4,38323.21584,0.150943396,13.09426,BW,BW1050,BeechMixedHardwoodHemlockForest,0.91,268.34,1050,6:14
6/2/2017 10:13,6/2/2017 11:38,,,1050,6/2/2017,Tim krynak,Quiscalus quiscula,>50m,Common Grackle,COGR,,,48.20274448,5,25,25,4,23.85909492,0.195877775,0.087345056,0.192274431,0.029452785,0.155780817,0.027052185,4,5.85,103,20787,0.702129918,10,1400,110.4,38323.21584,0.150943396,13.09426,BW,BW1050,BeechMixedHardwoodHemlockForest,0.91,268.34,1050,6:14
6/2/2017 10:13,6/2/2017 11:38,,,1050,6/2/2017,Tim krynak,Cardinalis cardinalis,<=50m,Northern Cardinal,NOCA,,,48.20274448,5,25,25,4,23.85909492,0.195877775,0.087345056,0.192274431,0.029452785,0.155780817,0.027052185,4,5.85,103,20787,0.702129918,10,1400,110.4,38323.21584,0.150943396,13.09426,BW,BW1050,BeechMixedHardwoodHemlockForest,0.91,268.34,1050,6:14
6/2/2017 10:35,6/2/2017 10:44,,,1114,6/2/2017,Tim krynak,Melanerpes carolinus,>50m,Red-bellied Woodpecker,RBWO,,,14.69861974,2,16,14,1,15.49317468,0,0,0.469809069,0,0.151590449,0.018785684,4,2.99,28,20787,2.147704129,0,950,0,38592.26468,0.203883495,13.51906,BW,BW1114,BeechMixedHardwoodHemlockForest,0.7,261.3,1114,6:36
